broom_type	student_weight	broom_skills	flying_speed
Siberian Arrow	61.1	19.6	17.7
Swiftstick	61.3	15.1	16.7
Cleansweep One	61.3	28.8	20.5
Nimbus 1700	61.5	28.2	20.2
Oakshaft 79	61.6	9.1	14.4
Swiftstick	61.6	1.5	16.3
Comet 140	62.0	17.6	17.2
Nimbus 2001	62.0	1.8	14.0
Firebolt	62.1	25.8	19.2
Shooting Star	62.6	4.3	14.9
Cleansweep Three	62.6	18.3	16.4
Silver Arrow	62.8	23.2	18.5
Tinderblast	63.0	3.8	15.2
Siberian Arrow	63.2	9.2	16.5
Turbo XXX	63.7	21.5	17.9
Nimbus 1700	63.8	17.7	18.5
Australian Flyabout	64.0	6.4	14.6
Australian Flyabout	64.0	27.5	19.4
Nimbus 2001	64.2	19.7	17.1
Starsweeper XXI	64.3	8.0	15.2
Shooting Star	64.4	20.7	17.4
Yajirushi	64.4	27.3	18.7
Nimbus 2001	64.5	4.4	13.8
Swiftstick	64.5	23.4	18.8
Swiftstick	64.7	11.0	15.9
Swiftstick	64.7	9.9	15.6
Moontrimmer	64.7	24.1	19.6
Cleansweep Three	64.8	12.8	15.9
Cleansweep Two	64.8	27.6	18.5
Yajirushi	65.2	4.4	15.6
Oakshaft 79	65.5	16.1	17.6
Thunderbolt VII	65.5	17.9	16.0
Nimbus 2000	65.8	6.8	15.8
Firebolt	66.1	14.3	17.1
Thunderbolt VII	66.2	15.5	16.0
Comet 140	66.3	20.2	17.6
Nimbus 1700	66.3	19.4	17.8
Air Wave Gold	66.3	5.2	14.8
Starsweeper XXI	66.9	26.1	18.7
Cleansweep Three	67.5	19.4	16.6
Shooting Star	67.6	29.6	18.1
Oakshaft 79	67.6	26.7	18.7
Air Wave Gold	67.7	8.4	13.3
Shooting Star	67.8	26.8	17.6
Nimbus 2000	68.1	5.9	14.4
Tinderblast	68.3	6.4	13.5
Comet 140	68.5	29.9	17.9
Silver Arrow	68.6	4.4	14.5
Nimbus 2001	68.8	3.9	13.4
Nimbus 2001	68.8	16.5	16.5
Tinderblast	69.4	8.6	13.5
Swiftstick	69.6	8.4	15.6
Twigger 90	69.7	4.4	13.6
Nimbus 2001	69.7	3.5	12.9
Nimbus 2001	69.7	15.3	15.6
Moontrimmer	69.8	18.0	16.8
Moontrimmer	69.8	23.8	17.8
Shooting Star	69.9	22.3	16.4
Twigger 90	70.1	11.3	14.8
Nimbus 2001	70.3	26.9	17.1
Cleansweep Two	70.3	27.6	17.4
Thunderbolt VII	70.4	16.0	14.1
Oakshaft 79	70.4	23.7	17.0
Turbo XXX	70.5	15.0	15.6
Comet 140	70.6	6.0	14.1
Cleansweep Three	70.6	19.3	16.7
Swiftstick	70.7	16.5	15.4
Comet 180	71.1	17.5	14.9
Firebolt	71.3	9.2	14.5
Thunderbolt VII	71.5	6.7	14.6
Cleansweep Three	71.6	6.3	14.4
Nimbus 1000	71.7	26.7	17.5
Starsweeper XXI	71.9	1.1	12.8
Nimbus 1700	71.9	3.5	14.4
Nimbus 2000	72.3	26.9	17.8
Nimbus 1000	72.6	17.0	14.9
Cleansweep Two	72.9	25.2	16.3
Nimbus 2000	72.9	27.0	18.6
Cleansweep One	73.2	10.0	14.5
Comet 180	73.4	29.7	17.2
Cleansweep Two	73.6	1.4	11.8
Turbo XXX	73.7	14.2	14.3
Nimbus 2000	73.9	27.3	16.0
Nimbus 2000	74.0	21.0	16.0
Australian Flyabout	74.2	26.7	17.4
Turbo XXX	74.6	6.8	14.5
Thunderbolt VII	74.7	17.9	16.3
Oakshaft 79	74.7	9.8	13.3
Cleansweep One	74.7	28.3	17.0
Swiftstick	74.7	19.5	14.4
Siberian Arrow	75.0	12.9	15.3
Turbo XXX	75.1	16.6	14.9
Nimbus 1000	75.1	3.3	12.7
Tinderblast	75.1	7.9	13.6
Starsweeper XXI	75.2	14.5	14.6
Thunderbolt VII	75.3	22.4	17.3
Swiftstick	75.4	23.4	14.1
Twigger 90	75.5	11.6	13.4
Swiftstick	75.5	18.8	14.9
Bluebottle	75.5	19.5	15.2
Comet 140	76.0	19.9	15.4
Starsweeper XXI	76.1	19.1	14.7
Starsweeper XXI	76.2	28.4	17.4
Firebolt	76.3	3.5	13.6
Nimbus 2001	77.1	1.4	11.5
