eco,white_elo,black_elo,result,elo_difference,eco_cat,white_player,black_player
 A40,2764,2470, 1-0,294,A40 - A44,Ron Weasley,Harry Potter
 C45,2512,2740, 1/2-1/2,-228,C20 - C99,Hermione Granger,Kylie Nowak
 D31,2556,2737, 0-1,-181,D00 - D69,Evangelina Cope,Charlotte Dillon
 B92,2567,2720, 1/2-1/2,-153,B20 - B99,Floyd Tinker,Benjamin Christensen
 E73,2567,2714, 0-1,-147,E60 - E99,Herman Nall,Shelli Lock
 A05,2707,2584, 1-0,123,A00 - A39,Bridgette Handy,Jung Blank
 D10,2700,2586, 1/2-1/2,114,D00 - D69,Dorothy Brownlee,Jeanie Mora
 A45,2470,2764, 1/2-1/2,-294,A45 - A49,Dorsey Carter,Adeline Church
 C07,2740,2512, 1/2-1/2,228,C00 - C19,Pam Acosta,Adell Dodge
 A48,2737,2556, 1/2-1/2,181,A45 - A49,Freeman Wasson,Darrel Gleason
 E17,2720,2567, 1/2-1/2,153,E00 - E59,Roslyn Holman,Chadwick Hawkins
 A06,2714,2567, 1-0,147,A00 - A39,Monty Parker,Dionne Hynes
 C65,2584,2707, 1/2-1/2,-123,C20 - C99,Candice Buford,Jessie Tilley
 B19,2586,2700, 1/2-1/2,-114,B10 - B19,Simon Alicea,Juliana Delgadillo
 C84,2626,2698, 1/2-1/2,-72,C20 - C99,Andra Moen,Earl Mccloskey
 E97,2569,2733, 1-0,-164,E60 - E99,Larissa Cowley,Eduardo Maness
 B19,2586,2700, 1/2-1/2,-114,B10 - B19,Benton Pina,Josef Stoll
 C07,2740,2512, 1-0,228,C00 - C19,Rosario Tanaka,Deanna Dowdell
 B92,2567,2720, 0-1,-153,B20 - B99,Lynn Fortney,Elizebeth Wong
 A06,2588,2706, 0-1,-118,A00 - A39,Dortha Borrego,Ramon Crain
 B12,2586,2700, 1/2-1/2,-114,B10 - B19,Aubrey Box,Silvia Landers
 C67,2651,2784, 1/2-1/2,-133,C20 - C99,Lynn Redman,Susanne Linn
 C11,2741,2655, 1-0,86,C00 - C19,Lona Nickel,Ivory Boykin
 D15,2747,2668, 1/2-1/2,79,D00 - D69,Carrol Owen,Germaine Theriault
 B44,2739,2632, 1-0,107,B20 - B99,Brianne Redmond,April Nason
 A46,2733,2698, 1/2-1/2,35,A45 - A49,Carmella Brice,Laverne France
 A17,2696,2551, 1/2-1/2,145,A00 - A39,Carrol Baum,Jade Trent
 B90,2706,2702, 1/2-1/2,4,B20 - B99,Asia Bledsoe,Ezekiel Vallejo
 C47,2651,2784, 1/2-1/2,-133,C20 - C99,Kyla Binder,Vonda Wingate
 B46,2756,2624, 1/2-1/2,132,B20 - B99,Noble Ulrich,Marcel Pederson
 B30,2698,2733, 1/2-1/2,-35,B20 - B99,Peter Holtz,Danette Amaral
 A09,2708,2707, 0-1,1,A00 - A39,Lisette Vo,Louis Ligon
 A40,2741,2655, 1-0,86,A40 - A44,Lowell Champion,Elaine Sargent
 A05,2672,2746, 0-1,-74,A00 - A39,Lindsey Reichert,Dwayne Hsu
 E10,2714,2494, 1/2-1/2,220,E00 - E59,Hilario Hollenbeck,Dorian Hinojosa
 A05,2692,2714, 1/2-1/2,-22,A00 - A39,Norberto Green,William Sawyer
 E10,2714,2708, 1-0,6,E00 - E59,Jean Walton,Aida Li
 B30,2608,2714, 0-1,-106,B20 - B99,Trinidad Bartholomew,Stanton Bruner
 C67,2547,2714, 0-1,-167,C20 - C99,Huey Marquardt,Mari Stanford
 E10,2714,2607, 0-1,107,E00 - E59,Victoria Nelson,Keshia Nava
 B09,2714,2752, 1/2-1/2,-38,B00 - B09,Marlin Quinonez,Hubert Upchurch
 E17,2685,2549, 1-0,136,E00 - E59,Denny Romano,Devin Daly
 B92,2710,2647, 1-0,63,B20 - B99,Latisha Frias,Earnest Roberge
 E90,2802,2679, 1/2-1/2,123,E60 - E99,Orval Street,Scott Chew
 B91,2735,2627, 1/2-1/2,108,B20 - B99,Ivan Arellano,Fabiola Squires
 B23,2679,2603, 1/2-1/2,76,B20 - B99,Herb Foote,Rudolph Zeigler
 C88,2720,2772, 1/2-1/2,-52,C20 - C99,Ricardo Miles,Kendrick Lahr
 C42,2780,2752, 1-0,28,C20 - C99,Wiley Wayne,Emilio Donahue
 A22,2630,2708, 0-1,-78,A00 - A39,Edwina Bowlin,Olga Bostick
 D15,2802,2772, 0-1,30,D00 - D69,Olive Mcgill,Paris Musgrove
 C84,2735,2781, 1-0,-46,C20 - C99,Paulette Royster,Evangeline Roy
 D80,2663,2802, 0-1,-139,D70 - D99,Angelica Mcclary,Kelley Reddy
 B12,2769,2627, 1/2-1/2,142,B10 - B19,Alaina Lemay,Carrol Hacker
 C78,2861,2663, 1-0,198,C20 - C99,Mellissa Mcgrew,Christi Rodrigues
 B42,2603,2781, 1/2-1/2,-178,B20 - B99,Marcie Penny,Bryce Coughlin
 B01,2772,2679, 1-0,93,B00 - B09,Joseph Vo,Ben Munger
 C67,2724,2664, 0-1,60,C20 - C99,Ora Farley,Eddie Blackwell
 A05,2861,2780, 1-0,81,A00 - A39,Kimberley Sharpe,Samual Bustos
 C67,2780,2698, 1/2-1/2,82,C20 - C99,Leanna Mclain,Louann Orton
 E46,2663,2679, 0-1,-16,E00 - E59,Megan Eubanks,Peggy Brackett
 A22,2802,2752, 1-0,50,A00 - A39,Granville Allen,Carroll Call
 E47,2663,2735, 0-1,-72,E00 - E59,Colin Lash,Franklyn Horst
 E90,2694,2405, 1-0,289,E60 - E99,Renate Goff,Cletus Deluca
 A06,2705,2606, 1-0,99,A00 - A39,Corinne Ashworth,Ismael Novak
 E32,2710,2514, 1-0,196,E00 - E59,Malcolm Mcqueen,Eliseo Yocum
 B30,2752,2861, 1/2-1/2,-109,B20 - B99,Alva Morrow,Reid Fultz
 A05,2698,2752, 1/2-1/2,-54,A00 - A39,Sung Poindexter,Jacklyn Whatley
 D12,2679,2781, 1-0,-102,D00 - D69,Cindi Connor,Wallace Moriarty
 E21,2758,2605, 1-0,153,E00 - E59,Rosalba Timmerman,Christal Coy
 A40,2723,2518, 1/2-1/2,205,A40 - A44,Robt Spence,Madonna Sommers
 D70,2720,2861, 1/2-1/2,-141,D70 - D99,Hassan Hoyle,Odessa Devito
 A11,2708,2556, 1-0,152,A00 - A39,Jimmie Gall,Norma Wenzel
 A48,2740,2587, 1-0,153,A45 - A49,Garry Sonnier,Carson Casas
 B30,2518,2690, 0-1,-172,B20 - B99,Flor Vick,Vicente Palmer
 B22,2606,2710, 1/2-1/2,-104,B20 - B99,Vickie Sharpe,Cathryn Horn
 E00,2740,2694, 1/2-1/2,46,E00 - E59,Luella Pease,Grant Stewart
 E60,2650,2713, 0-1,-63,E60 - E99,Mercedes Cullen,Alberto Radford
 C44,2723,2660, 1/2-1/2,63,C20 - C99,Carter Costa,Carlotta Irons
 A17,2580,2701, 1/2-1/2,-121,A00 - A39,Johnny Iverson,Ruben Rau
 D17,2690,2694, 1/2-1/2,-4,D00 - D69,Lauri Holbrook,Kraig Friday
 A40,2694,2590, 1/2-1/2,104,A40 - A44,Waldo Osborn,Gordon Conyers
 C80,2695,2730, 1/2-1/2,-35,C20 - C99,Sonya Ford,Jesus Belcher
 D15,2615,2702, 1/2-1/2,-87,D00 - D69,Dennis Rupert,Sung Hammonds
 C77,2713,2695, 1/2-1/2,18,C20 - C99,Myron Lange,Nadia Dunbar
 A05,2545,2821, 0-1,-276,A00 - A39,Ruby Delagarza,Chad Ashworth
 B90,2545,2703, 0-1,-158,B20 - B99,Bryant Swearingen,Diego Cooper
 D90,2618,2703, 1/2-1/2,-85,D70 - D99,Latanya Pinkston,Catharine Mahan
 A46,2716,2640, 1-0,76,A45 - A49,Jacquelyn Crawford,Josue Traylor
 B90,2757,2780, 1/2-1/2,-23,B20 - B99,Helga Joiner,Lettie Leblanc
 E11,2640,2716, 1-0,-76,E00 - E59,Maria Strain,Flossie Zuniga
 C67,2708,2743, 1/2-1/2,-35,C20 - C99,Mckinley Padilla,Jacque Oleary
 E32,2786,2803, 1/2-1/2,-17,E00 - E59,Rosalinda Ketchum,Leila Michaud
 E62,2753,2864, 1/2-1/2,-111,E60 - E99,John Coombs,Cara Pape
